index,SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,Geo,Region,Salesperson,Team,Location,Product,Category,Size,Cost_per_box,Profit,Month
636,SP12,G5,P16,2021-03-04,6545,276,219,Australia,APAC,Karlen McCaffrey,Yummies,Wellington,Organic Choco Syrup,Other,SMALL,1.47,6223.07,2021-03
637,SP04,G2,P07,2021-03-04,9982,399,357,USA,Americas,Wilone O'Kielt,Delish,Hyderabad,Drinking Coco,Other,LARGE,1.62,9403.66,2021-03
638,SP21,G6,P13,2021-03-04,6363,95,398,UK,Europe,Mallorie Waber,,Seattle,85% Dark Bars,Bars,SMALL,0.64,6108.28,2021-03
639,SP04,G5,P15,2021-03-04,14336,50,1304,Australia,APAC,Wilone O'Kielt,Delish,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,9902.400000000001,2021-03
640,SP24,G1,P10,2021-03-04,7063,182,253,India,APAC,Roddy Speechley,Delish,Seattle,Spicy Special Slims,Bites,LARGE,5.79,5598.13,2021-03
641,SP17,G5,P11,2021-03-04,5551,176,199,Australia,APAC,Rafaelita Blaksland,,Wellington,After Nines,Bites,LARGE,4.43,4669.43,2021-03
642,SP05,G2,P09,2021-03-04,448,319,38,USA,Americas,Gigi Bohling,Delish,Hyderabad,Orange Choco,Bars,LARGE,7.14,176.68,2021-03
643,SP11,G6,P21,2021-03-05,9121,66,481,UK,Europe,Husein Augar,Yummies,Wellington,Choco Coated Almonds,Bites,SMALL,6.17,6153.23,2021-03
644,SP04,G3,P09,2021-03-05,6258,277,626,Canada,Americas,Wilone O'Kielt,Delish,Hyderabad,Orange Choco,Bars,LARGE,7.14,1788.3600000000006,2021-03
645,SP20,G3,P18,2021-03-05,10752,111,347,Canada,Americas,Oby Sorrel,Jucies,Seattle,Manuka Honey Choco,Other,SMALL,4.75,9103.75,2021-03
646,SP08,G4,P13,2021-03-05,12411,100,540,New Zealand,APAC,Ches Bonnell,,Hyderabad,85% Dark Bars,Bars,SMALL,0.64,12065.4,2021-03
647,SP11,G5,P18,2021-03-05,308,74,10,Australia,APAC,Husein Augar,Yummies,Wellington,Manuka Honey Choco,Other,SMALL,4.75,260.5,2021-03
648,SP25,G2,P12,2021-03-05,10689,296,764,USA,Americas,Camilla Castle,Delish,Seattle,Fruit & Nut Bars,Bars,LARGE,1.58,9481.88,2021-03
649,SP04,G6,P07,2021-03-05,448,98,16,UK,Europe,Wilone O'Kielt,Delish,Hyderabad,Drinking Coco,Other,LARGE,1.62,422.08,2021-03
650,SP11,G2,P05,2021-03-05,4410,271,260,USA,Americas,Husein Augar,Yummies,Wellington,Mint Chip Choco,Bars,LARGE,1.54,4009.6,2021-03
651,SP15,G6,P15,2021-03-08,6265,501,570,UK,Europe,Kelci Walkden,Yummies,Wellington,Baker's Choco Chips,Bars,SMALL,3.4,4327.0,2021-03
652,SP05,G3,P21,2021-03-08,7301,116,366,Canada,Americas,Gigi Bohling,Delish,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,5042.780000000001,2021-03
653,SP03,G5,P18,2021-03-08,4802,330,185,Australia,APAC,Gunar Cockshoot,Yummies,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,3923.25,2021-03
654,SP14,G3,P01,2021-03-08,1358,99,53,Canada,Americas,Dotty Strutley,Delish,Wellington,Milk Bars,Bars,LARGE,1.52,1277.44,2021-03
655,SP21,G2,P02,2021-03-08,1610,284,147,USA,Americas,Mallorie Waber,,Seattle,50% Dark Bites,Bites,LARGE,2.57,1232.21,2021-03
656,SP03,G6,P22,2021-03-08,63,106,3,UK,Europe,Gunar Cockshoot,Yummies,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,52.29,2021-03
657,SP05,G4,P21,2021-03-08,161,55,8,New Zealand,APAC,Gigi Bohling,Delish,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,111.64,2021-03
658,SP02,G3,P03,2021-03-08,1246,157,70,Canada,Americas,Dennison Crosswaite,Yummies,Hyderabad,Almond Choco,Bars,LARGE,9.6,574.0,2021-03
659,SP15,G1,P11,2021-03-08,49,250,3,India,APAC,Kelci Walkden,Yummies,Wellington,After Nines,Bites,LARGE,4.43,35.71,2021-03
660,SP09,G2,P03,2021-03-08,4032,150,202,USA,Americas,Andria Kimpton,Jucies,Hyderabad,Almond Choco,Bars,LARGE,9.6,2092.8,2021-03
661,SP18,G3,P09,2021-03-08,1085,181,181,Canada,Americas,Madelene Upcott,Jucies,Wellington,Orange Choco,Bars,LARGE,7.14,-207.33999999999992,2021-03
662,SP10,G2,P10,2021-03-08,4347,135,174,USA,Americas,Brien Boise,Jucies,Wellington,Spicy Special Slims,Bites,LARGE,5.79,3339.54,2021-03
663,SP15,G5,P17,2021-03-08,7084,193,322,Australia,APAC,Kelci Walkden,Yummies,Wellington,Caramel Stuffed Bars,Bars,SMALL,0.54,6910.12,2021-03
664,SP13,G3,P04,2021-03-08,5383,117,300,Canada,Americas,Jan Morforth,Delish,Wellington,Raspberry Choco,Bars,LARGE,4.09,4156.0,2021-03
665,SP06,G3,P12,2021-03-08,1351,232,123,Canada,Americas,Curtice Advani,Delish,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,1156.66,2021-03
666,SP19,G5,P19,2021-03-08,3591,455,257,Australia,APAC,Beverie Moffet,Jucies,Seattle,70% Dark Bites,Bites,SMALL,4.97,2313.71,2021-03
667,SP13,G3,P12,2021-03-08,1540,27,154,Canada,Americas,Jan Morforth,Delish,Wellington,Fruit & Nut Bars,Bars,LARGE,1.58,1296.68,2021-03
668,SP22,G2,P07,2021-03-08,9884,113,341,USA,Americas,Jehu Rudeforth,,Seattle,Drinking Coco,Other,LARGE,1.62,9331.58,2021-03
669,SP18,G1,P13,2021-03-08,9415,296,554,India,APAC,Madelene Upcott,Jucies,Wellington,85% Dark Bars,Bars,SMALL,0.64,9060.44,2021-03
670,SP02,G5,P07,2021-03-08,1778,52,66,Australia,APAC,Dennison Crosswaite,Yummies,Hyderabad,Drinking Coco,Other,LARGE,1.62,1671.08,2021-03
671,SP17,G3,P04,2021-03-08,8120,224,370,Canada,Americas,Rafaelita Blaksland,,Wellington,Raspberry Choco,Bars,LARGE,4.09,6606.7,2021-03
672,SP23,G6,P01,2021-03-08,2849,128,95,UK,Europe,Van Tuxwell,Yummies,Seattle,Milk Bars,Bars,LARGE,1.52,2704.6,2021-03
673,SP13,G5,P13,2021-03-08,2408,288,115,Australia,APAC,Jan Morforth,Delish,Wellington,85% Dark Bars,Bars,SMALL,0.64,2334.4,2021-03
674,SP07,G3,P17,2021-03-08,12075,265,549,Canada,Americas,Kaine Padly,Delish,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,11778.54,2021-03
675,SP06,G3,P18,2021-03-08,2730,120,95,Canada,Americas,Curtice Advani,Delish,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,2278.75,2021-03
676,SP19,G6,P04,2021-03-09,1778,267,112,UK,Europe,Beverie Moffet,Jucies,Seattle,Raspberry Choco,Bars,LARGE,4.09,1319.92,2021-03
677,SP18,G4,P09,2021-03-09,4725,157,591,New Zealand,APAC,Madelene Upcott,Jucies,Wellington,Orange Choco,Bars,LARGE,7.14,505.2600000000002,2021-03
678,SP13,G3,P20,2021-03-09,6405,40,338,Canada,Americas,Jan Morforth,Delish,Wellington,Smooth Sliky Salty,Bars,SMALL,2.97,5401.14,2021-03
679,SP03,G6,P08,2021-03-09,2674,402,122,UK,Europe,Gunar Cockshoot,Yummies,Hyderabad,99% Dark & Pure,Bars,LARGE,2.47,2372.66,2021-03
680,SP24,G1,P08,2021-03-09,5908,149,311,India,APAC,Roddy Speechley,Delish,Seattle,99% Dark & Pure,Bars,LARGE,2.47,5139.83,2021-03
681,SP24,G5,P03,2021-03-09,7301,39,457,Australia,APAC,Roddy Speechley,Delish,Seattle,Almond Choco,Bars,LARGE,9.6,2913.8,2021-03
682,SP24,G2,P10,2021-03-09,154,101,6,USA,Americas,Roddy Speechley,Delish,Seattle,Spicy Special Slims,Bites,LARGE,5.79,119.25999999999999,2021-03
683,SP12,G2,P09,2021-03-09,343,103,29,USA,Americas,Karlen McCaffrey,Yummies,Wellington,Orange Choco,Bars,LARGE,7.14,135.94,2021-03
684,SP03,G4,P19,2021-03-09,14903,136,1656,New Zealand,APAC,Gunar Cockshoot,Yummies,Hyderabad,70% Dark Bites,Bites,SMALL,4.97,6672.68,2021-03
685,SP17,G4,P12,2021-03-09,5390,482,318,New Zealand,APAC,Rafaelita Blaksland,,Wellington,Fruit & Nut Bars,Bars,LARGE,1.58,4887.56,2021-03
686,SP09,G5,P03,2021-03-09,553,105,27,Australia,APAC,Andria Kimpton,Jucies,Hyderabad,Almond Choco,Bars,LARGE,9.6,293.8,2021-03
687,SP23,G6,P10,2021-03-09,7266,70,346,UK,Europe,Van Tuxwell,Yummies,Seattle,Spicy Special Slims,Bites,LARGE,5.79,5262.66,2021-03
688,SP14,G4,P05,2021-03-09,8792,32,419,New Zealand,APAC,Dotty Strutley,Delish,Wellington,Mint Chip Choco,Bars,LARGE,1.54,8146.74,2021-03
689,SP05,G1,P04,2021-03-09,8967,154,561,India,APAC,Gigi Bohling,Delish,Hyderabad,Raspberry Choco,Bars,LARGE,4.09,6672.51,2021-03
690,SP24,G1,P13,2021-03-09,3661,269,167,India,APAC,Roddy Speechley,Delish,Seattle,85% Dark Bars,Bars,SMALL,0.64,3554.12,2021-03
691,SP13,G4,P19,2021-03-10,1344,8,112,New Zealand,APAC,Jan Morforth,Delish,Wellington,70% Dark Bites,Bites,SMALL,4.97,787.36,2021-03
692,SP15,G5,P09,2021-03-10,10262,168,856,Australia,APAC,Kelci Walkden,Yummies,Wellington,Orange Choco,Bars,LARGE,7.14,4150.16,2021-03
693,SP03,G1,P05,2021-03-10,4480,128,264,India,APAC,Gunar Cockshoot,Yummies,Hyderabad,Mint Chip Choco,Bars,LARGE,1.54,4073.44,2021-03
694,SP21,G4,P22,2021-03-10,7784,100,300,New Zealand,APAC,Mallorie Waber,,Seattle,Peanut Butter Cubes,Bites,SMALL,3.57,6713.0,2021-03
695,SP01,G2,P17,2021-03-10,19054,178,658,USA,Americas,Barr Faughny,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,18698.68,2021-03
696,SP17,G4,P08,2021-03-10,23268,80,1058,New Zealand,APAC,Rafaelita Blaksland,,Wellington,99% Dark & Pure,Bars,LARGE,2.47,20654.739999999998,2021-03
697,SP08,G1,P06,2021-03-11,3885,242,195,India,APAC,Ches Bonnell,,Hyderabad,Eclairs,Bites,LARGE,2.24,3448.2,2021-03
698,SP17,G6,P06,2021-03-11,7147,225,477,UK,Europe,Rafaelita Blaksland,,Wellington,Eclairs,Bites,LARGE,2.24,6078.52,2021-03
699,SP19,G1,P16,2021-03-11,4571,62,164,India,APAC,Beverie Moffet,Jucies,Seattle,Organic Choco Syrup,Other,SMALL,1.47,4329.92,2021-03
700,SP23,G5,P20,2021-03-11,7973,80,614,Australia,APAC,Van Tuxwell,Yummies,Seattle,Smooth Sliky Salty,Bars,SMALL,2.97,6149.42,2021-03
701,SP07,G6,P01,2021-03-11,6055,213,202,UK,Europe,Kaine Padly,Delish,Hyderabad,Milk Bars,Bars,LARGE,1.52,5747.96,2021-03
702,SP09,G4,P03,2021-03-11,847,213,43,New Zealand,APAC,Andria Kimpton,Jucies,Hyderabad,Almond Choco,Bars,LARGE,9.6,434.2,2021-03
703,SP08,G4,P09,2021-03-11,4914,147,702,New Zealand,APAC,Ches Bonnell,,Hyderabad,Orange Choco,Bars,LARGE,7.14,-98.27999999999975,2021-03
704,SP02,G5,P08,2021-03-11,1358,204,76,Australia,APAC,Dennison Crosswaite,Yummies,Hyderabad,99% Dark & Pure,Bars,LARGE,2.47,1170.28,2021-03
705,SP01,G4,P17,2021-03-11,1428,387,50,New Zealand,APAC,Barr Faughny,Yummies,Hyderabad,Caramel Stuffed Bars,Bars,SMALL,0.54,1401.0,2021-03
706,SP14,G2,P22,2021-03-11,8764,50,439,USA,Americas,Dotty Strutley,Delish,Wellington,Peanut Butter Cubes,Bites,SMALL,3.57,7196.77,2021-03
707,SP25,G5,P03,2021-03-11,10472,107,456,Australia,APAC,Camilla Castle,Delish,Seattle,Almond Choco,Bars,LARGE,9.6,6094.400000000001,2021-03
708,SP22,G6,P10,2021-03-11,1960,65,70,UK,Europe,Jehu Rudeforth,,Seattle,Spicy Special Slims,Bites,LARGE,5.79,1554.7,2021-03
709,SP03,G3,P06,2021-03-11,10171,69,536,Canada,Americas,Gunar Cockshoot,Yummies,Hyderabad,Eclairs,Bites,LARGE,2.24,8970.36,2021-03
710,SP04,G3,P15,2021-03-11,8253,13,551,Canada,Americas,Wilone O'Kielt,Delish,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,6379.6,2021-03
711,SP01,G1,P16,2021-03-11,9534,86,367,India,APAC,Barr Faughny,Yummies,Hyderabad,Organic Choco Syrup,Other,SMALL,1.47,8994.51,2021-03
712,SP19,G3,P08,2021-03-11,5936,199,350,Canada,Americas,Beverie Moffet,Jucies,Seattle,99% Dark & Pure,Bars,LARGE,2.47,5071.5,2021-03
713,SP01,G6,P06,2021-03-12,154,172,8,UK,Europe,Barr Faughny,Yummies,Hyderabad,Eclairs,Bites,LARGE,2.24,136.07999999999998,2021-03
714,SP08,G4,P18,2021-03-12,5663,155,196,New Zealand,APAC,Ches Bonnell,,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,4732.0,2021-03
715,SP09,G6,P15,2021-03-12,11298,14,1256,UK,Europe,Andria Kimpton,Jucies,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,7027.6,2021-03
716,SP19,G3,P01,2021-03-12,1309,237,49,Canada,Americas,Beverie Moffet,Jucies,Seattle,Milk Bars,Bars,LARGE,1.52,1234.52,2021-03
717,SP03,G6,P06,2021-03-12,3815,258,212,UK,Europe,Gunar Cockshoot,Yummies,Hyderabad,Eclairs,Bites,LARGE,2.24,3340.12,2021-03
718,SP23,G5,P07,2021-03-12,385,227,16,Australia,APAC,Van Tuxwell,Yummies,Seattle,Drinking Coco,Other,LARGE,1.62,359.08,2021-03
719,SP18,G2,P22,2021-03-12,315,232,15,USA,Americas,Madelene Upcott,Jucies,Wellington,Peanut Butter Cubes,Bites,SMALL,3.57,261.45,2021-03
720,SP06,G1,P22,2021-03-12,11823,453,657,India,APAC,Curtice Advani,Delish,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,9477.51,2021-03
721,SP03,G5,P07,2021-03-12,2891,205,108,Australia,APAC,Gunar Cockshoot,Yummies,Hyderabad,Drinking Coco,Other,LARGE,1.62,2716.04,2021-03
722,SP22,G6,P05,2021-03-12,5278,54,264,UK,Europe,Jehu Rudeforth,,Seattle,Mint Chip Choco,Bars,LARGE,1.54,4871.44,2021-03
723,SP20,G6,P10,2021-03-12,8036,118,335,UK,Europe,Oby Sorrel,Jucies,Seattle,Spicy Special Slims,Bites,LARGE,5.79,6096.35,2021-03
724,SP21,G6,P22,2021-03-12,2940,142,128,UK,Europe,Mallorie Waber,,Seattle,Peanut Butter Cubes,Bites,SMALL,3.57,2483.04,2021-03
725,SP02,G1,P22,2021-03-12,8309,232,333,India,APAC,Dennison Crosswaite,Yummies,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,7120.1900000000005,2021-03
726,SP12,G1,P07,2021-03-12,1820,18,63,India,APAC,Karlen McCaffrey,Yummies,Wellington,Drinking Coco,Other,LARGE,1.62,1717.94,2021-03
727,SP08,G2,P09,2021-03-12,1393,153,127,USA,Americas,Ches Bonnell,,Hyderabad,Orange Choco,Bars,LARGE,7.14,486.22,2021-03
728,SP02,G4,P18,2021-03-12,6440,235,215,New Zealand,APAC,Dennison Crosswaite,Yummies,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,5418.75,2021-03
729,SP07,G6,P16,2021-03-12,2275,359,99,UK,Europe,Kaine Padly,Delish,Hyderabad,Organic Choco Syrup,Other,SMALL,1.47,2129.47,2021-03
730,SP01,G6,P10,2021-03-12,3941,209,180,UK,Europe,Barr Faughny,Yummies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,2898.8,2021-03
731,SP23,G6,P19,2021-03-12,49,78,4,UK,Europe,Van Tuxwell,Yummies,Seattle,70% Dark Bites,Bites,SMALL,4.97,29.12,2021-03
732,SP18,G2,P03,2021-03-12,3346,122,168,USA,Americas,Madelene Upcott,Jucies,Wellington,Almond Choco,Bars,LARGE,9.6,1733.2,2021-03
733,SP14,G1,P14,2021-03-15,4592,445,511,India,APAC,Dotty Strutley,Delish,Wellington,White Choc,Other,SMALL,0.16,4510.24,2021-03
734,SP21,G5,P12,2021-03-15,8862,152,522,Australia,APAC,Mallorie Waber,,Seattle,Fruit & Nut Bars,Bars,LARGE,1.58,8037.24,2021-03
735,SP22,G4,P06,2021-03-15,9590,133,640,New Zealand,APAC,Jehu Rudeforth,,Seattle,Eclairs,Bites,LARGE,2.24,8156.4,2021-03
736,SP04,G2,P13,2021-03-15,7175,47,359,USA,Americas,Wilone O'Kielt,Delish,Hyderabad,85% Dark Bars,Bars,SMALL,0.64,6945.24,2021-03
737,SP11,G1,P10,2021-03-15,2534,119,91,India,APAC,Husein Augar,Yummies,Wellington,Spicy Special Slims,Bites,LARGE,5.79,2007.1100000000001,2021-03
738,SP02,G1,P06,2021-03-15,1162,3,62,India,APAC,Dennison Crosswaite,Yummies,Hyderabad,Eclairs,Bites,LARGE,2.24,1023.12,2021-03
739,SP10,G3,P05,2021-03-15,7042,173,470,Canada,Americas,Brien Boise,Jucies,Wellington,Mint Chip Choco,Bars,LARGE,1.54,6318.2,2021-03
740,SP06,G1,P20,2021-03-15,7392,111,493,India,APAC,Curtice Advani,Delish,Hyderabad,Smooth Sliky Salty,Bars,SMALL,2.97,5927.79,2021-03
741,SP24,G3,P05,2021-03-15,371,191,20,Canada,Americas,Roddy Speechley,Delish,Seattle,Mint Chip Choco,Bars,LARGE,1.54,340.2,2021-03
742,SP23,G4,P06,2021-03-16,7728,151,368,New Zealand,APAC,Van Tuxwell,Yummies,Seattle,Eclairs,Bites,LARGE,2.24,6903.68,2021-03
743,SP20,G5,P18,2021-03-16,518,223,21,Australia,APAC,Oby Sorrel,Jucies,Seattle,Manuka Honey Choco,Other,SMALL,4.75,418.25,2021-03
744,SP08,G1,P07,2021-03-16,8547,112,317,India,APAC,Ches Bonnell,,Hyderabad,Drinking Coco,Other,LARGE,1.62,8033.46,2021-03
745,SP15,G5,P05,2021-03-16,4018,34,192,Australia,APAC,Kelci Walkden,Yummies,Wellington,Mint Chip Choco,Bars,LARGE,1.54,3722.32,2021-03
746,SP21,G4,P17,2021-03-16,6118,203,266,New Zealand,APAC,Mallorie Waber,,Seattle,Caramel Stuffed Bars,Bars,SMALL,0.54,5974.36,2021-03
747,SP12,G4,P11,2021-03-16,1582,119,55,New Zealand,APAC,Karlen McCaffrey,Yummies,Wellington,After Nines,Bites,LARGE,4.43,1338.35,2021-03
748,SP23,G4,P13,2021-03-16,3626,309,214,New Zealand,APAC,Van Tuxwell,Yummies,Seattle,85% Dark Bars,Bars,SMALL,0.64,3489.04,2021-03
749,SP18,G3,P11,2021-03-16,8981,152,360,Canada,Americas,Madelene Upcott,Jucies,Wellington,After Nines,Bites,LARGE,4.43,7386.2,2021-03
750,SP08,G2,P19,2021-03-16,3304,306,255,USA,Americas,Ches Bonnell,,Hyderabad,70% Dark Bites,Bites,SMALL,4.97,2036.65,2021-03
751,SP03,G6,P11,2021-03-16,6076,74,196,UK,Europe,Gunar Cockshoot,Yummies,Hyderabad,After Nines,Bites,LARGE,4.43,5207.72,2021-03
752,SP04,G1,P15,2021-03-16,12530,134,964,India,APAC,Wilone O'Kielt,Delish,Hyderabad,Baker's Choco Chips,Bars,SMALL,3.4,9252.4,2021-03
753,SP02,G2,P20,2021-03-16,3675,273,283,USA,Americas,Dennison Crosswaite,Yummies,Hyderabad,Smooth Sliky Salty,Bars,SMALL,2.97,2834.49,2021-03
754,SP15,G6,P04,2021-03-16,434,152,28,UK,Europe,Kelci Walkden,Yummies,Wellington,Raspberry Choco,Bars,LARGE,4.09,319.48,2021-03
755,SP10,G1,P20,2021-03-16,5509,16,307,India,APAC,Brien Boise,Jucies,Wellington,Smooth Sliky Salty,Bars,SMALL,2.97,4597.21,2021-03
756,SP01,G1,P21,2021-03-16,10843,228,517,India,APAC,Barr Faughny,Yummies,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,7653.110000000001,2021-03
757,SP01,G3,P09,2021-03-16,7623,88,587,Canada,Americas,Barr Faughny,Yummies,Hyderabad,Orange Choco,Bars,LARGE,7.14,3431.8200000000006,2021-03
758,SP01,G3,P12,2021-03-16,7623,152,636,Canada,Americas,Barr Faughny,Yummies,Hyderabad,Fruit & Nut Bars,Bars,LARGE,1.58,6618.12,2021-03
759,SP01,G3,P10,2021-03-17,6573,185,313,Canada,Americas,Barr Faughny,Yummies,Hyderabad,Spicy Special Slims,Bites,LARGE,5.79,4760.73,2021-03
760,SP05,G1,P14,2021-03-17,2520,95,149,India,APAC,Gigi Bohling,Delish,Hyderabad,White Choc,Other,SMALL,0.16,2496.16,2021-03
761,SP04,G1,P21,2021-03-17,910,14,54,India,APAC,Wilone O'Kielt,Delish,Hyderabad,Choco Coated Almonds,Bites,SMALL,6.17,576.8199999999999,2021-03
762,SP24,G2,P19,2021-03-17,5397,8,416,USA,Americas,Roddy Speechley,Delish,Seattle,70% Dark Bites,Bites,SMALL,4.97,3329.48,2021-03
763,SP16,G3,P16,2021-03-17,4263,464,158,Canada,Americas,Marney O'Breen,Jucies,Wellington,Organic Choco Syrup,Other,SMALL,1.47,4030.74,2021-03
764,SP19,G6,P17,2021-03-17,7637,114,273,UK,Europe,Beverie Moffet,Jucies,Seattle,Caramel Stuffed Bars,Bars,SMALL,0.54,7489.58,2021-03
765,SP11,G3,P13,2021-03-17,15239,156,953,Canada,Americas,Husein Augar,Yummies,Wellington,85% Dark Bars,Bars,SMALL,0.64,14629.08,2021-03
766,SP23,G2,P08,2021-03-17,7840,81,392,USA,Americas,Van Tuxwell,Yummies,Seattle,99% Dark & Pure,Bars,LARGE,2.47,6871.76,2021-03
767,SP16,G3,P18,2021-03-17,1302,298,51,Canada,Americas,Marney O'Breen,Jucies,Wellington,Manuka Honey Choco,Other,SMALL,4.75,1059.75,2021-03
768,SP16,G2,P17,2021-03-17,3192,459,128,USA,Americas,Marney O'Breen,Jucies,Wellington,Caramel Stuffed Bars,Bars,SMALL,0.54,3122.88,2021-03
